ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,year,times_listened
2019-08-31T04:10:16Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 6.0 API 23 (Intex,     )",120295,IN,223.187.145.76,unknown,Indeciso,Reik,Indeciso,spotify:track:59s0s39NFWScuHDbHytI14,,,,playbtn,endplay,True,,False,1567221428746,False,2019,2.0
2019-08-31T04:12:25Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 6.0 API 23 (Intex,     )",102991,IN,223.187.145.76,unknown,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,Carte Blanche,spotify:track:6osaMSJh9NguagEDQcZaKx,,,,clickrow,endplay,False,,False,1567224614546,False,2019,94.0
2019-08-31T04:12:28Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 6.0 API 23 (Intex,     )",1815,IN,223.187.145.76,unknown,China,Anuel AA,China,spotify:track:2ksOAxtIxY8yElEWw8RhgK,,,,clickrow,endplay,False,,False,1567224744221,False,2019,36.0
2019-08-31T04:12:30Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 6.0 API 23 (Intex,     )",885,IN,223.187.145.76,unknown,Ransom,Lil Tecca,Ransom,spotify:track:1kBbgxAUc4HQv7cgIayIDH,,,,clickrow,endplay,False,,False,1567224747300,False,2019,1.0
2019-08-31T04:16:35Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 6.0 API 23 (Intex,     )",908,IN,223.187.145.76,unknown,Sorry,Justin Bieber,Purpose,spotify:track:09CtPGIpYB4BrO8qb1RGsF,,,,playbtn,endplay,False,,False,1567224992097,False,2019,75.0
2019-08-31T04:21:03Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 6.0 API 23 (Intex,     )",58938,IN,223.187.145.76,unknown,Let Me Love You,DJ Snake,Encore,spotify:track:5Qjv35Ja2TDt9CXRRo51hh,,,,trackdone,endplay,False,,False,1567225201312,True,2019,47.0
2019-08-31T04:42:10Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 6.0 API 23 (Intex,     )",380301,IN,223.187.145.76,unknown,Contra La Pared,Sean Paul,Contra La Pared,spotify:track:37eGbhE1xVFSvcKkqGb6i1,,,,playbtn,trackdone,True,,False,1567225261647,True,2019,38.0
2019-08-31T04:45:52Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 6.0 API 23 (Intex,     )",221176,IN,223.187.145.76,unknown,No Lie,Sean Paul,Mad Love The Prequel,spotify:track:48QmG1dfvMuYLxMPt7KSRA,,,,trackdone,trackdone,True,,False,1567226529340,True,2019,20.0
2019-08-31T04:49:08Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 6.0 API 23 (Intex,     )",195428,IN,223.187.145.76,unknown,"Fuego (with Sean Paul & Anitta, feat. Tainy)",DJ Snake,Carte Blanche,spotify:track:660eekzsNZ7sdATvfIsAkR,,,,trackdone,trackdone,True,,False,1567226750874,True,2019,76.0
2019-08-31T04:50:24Z,rt47etgc6xpwhhhb8575rth83,"Android-tablet OS 6.0 API 23 (Intex,     )",74340,IN,223.187.145.76,unknown,Cheap Thrills (feat. Sean Paul),Sia,Cheap Thrills (feat. Sean Paul),spotify:track:6b3b7lILUJqXcp6w9wNQSm,,,,trackdone,endplay,True,,False,1567226946814,True,2019,6.0
